ID,Nombre
412,Demanda programada PHF6 Corrección solar
413,Demanda programada PHF6 Corrección REE
414,Demanda programada PHF7 Comercializadores mercado libre
415,Demanda programada PHF7 Comercializadores de referencia
416,Demanda programada PHF7 Consumos directos en mercado
417,Demanda programada PHF7 Consumo de Servicios Auxiliares
418,Demanda programada PHF7 Corrección eólica
419,Demanda programada PHF7 Corrección solar
420,Demanda programada PHF7 Corrección REE
421,Programa bilateral PBF Hidráulica UGH
422,Programa bilateral PBF Hidráulica no UGH
423,Programa bilateral PBF Turbinación bombeo
424,Programa bilateral PBF Nuclear
425,Programa bilateral PBF Hulla antracita Anexo II RD 134/2010
426,Programa bilateral PBF Hulla sub-bituminosa Anexo II RD 134/2010
427,Programa bilateral PBF Hulla antracita
428,Programa bilateral PBF Hulla sub-bituminosa
429,Programa bilateral PBF Ciclo combinado
430,Programa bilateral PBF Fuel
431,Programa bilateral PBF Gas Natural
432,Programa bilateral PBF Eólica terrestre
433,Programa bilateral PBF Eólica marina
434,Programa bilateral PBF Solar fotovoltaica
435,Programa bilateral PBF Solar térmica
436,Programa bilateral PBF Océano y geotérmica
437,Programa bilateral PBF Gas Natural Cogeneración
438,Programa bilateral PBF Derivados del petróleo ó carbón
439,Programa bilateral PBF Subproductos minería
440,Programa bilateral PBF Energía residual
441,Programa bilateral PBF Biomasa
442,Programa bilateral PBF Biogás
443,Programa bilateral PBF Residuos domésticos y similares
444,Programa bilateral PBF Residuos varios
445,Programa bilateral PBF Consumo bombeo
446,Programa bilateral PBF Importación Francia
447,Programa bilateral PBF Importación Portugal
448,Programa bilateral PBF Importación Marruecos
449,Programa bilateral PBF Importación Andorra
450,Programa bilateral PBF Exportación Francia
451,Programa bilateral PBF Exportación Portugal
452,Programa bilateral PBF Exportación Marruecos
453,Programa bilateral PBF Exportación Andorra
454,Programa bilateral PBF Comercialización Mercado Libre ventas
455,Programa bilateral PBF Genéricas ventas
456,Programa bilateral PBF Comercialización Mercado Libre bajar
457,Programa bilateral PBF Comercialización Último Recurso
458,Programa bilateral PBF Consumo Directo en Mercado
459,Programa bilateral PBF Genéricas bajar
460,Previsión diaria de la demanda eléctrica peninsular
461,Previsión mensual de la demanda eléctrica peninsular
462,Potencia indisponible de generación en PBF
463,Potencia indisponible de generación en el cierre
464,Potencia instalada de generación convencional Hidráulica UGH
